iter	Passed	Remaining
191	252	1062
192	253	1061
193	255	1059
194	256	1058
195	257	1056
196	258	1054
197	260	1053
198	261	1052
199	262	1050
200	264	1049
201	265	1048
202	266	1046
203	267	1045
204	269	1044
205	270	1042
206	271	1041
207	273	1039
208	274	1037
209	275	1036
210	276	1035
211	278	1033
212	279	1032
213	280	1030
214	281	1029
215	283	1027
216	284	1026
217	285	1025
218	287	1023
219	288	1022
220	289	1020
221	290	1019
222	292	1017
223	293	1016
224	294	1014
225	295	1013
226	297	1012
227	298	1010
228	299	1009
229	300	1007
230	302	1006
231	303	1004
232	304	1003
233	306	1002
234	307	1000
235	308	999
236	309	997
237	311	996
238	312	994
239	313	993
240	314	991
241	316	990
242	317	989
243	318	987
244	320	986
245	321	984
246	322	983
247	323	982
248	325	981
249	326	979
250	327	978
251	329	977
252	330	975
253	331	974
254	333	973
255	334	971
256	335	970
257	336	969
258	338	967
259	339	966
260	340	965
261	342	963
262	343	962
263	344	961
264	345	959
265	347	958
266	348	956
267	349	955
268	351	953
269	352	952
270	353	951
271	354	949
272	356	948
273	358	948
274	359	947
275	360	946
276	362	944
277	363	943
278	364	942
279	366	941
280	367	939
281	368	938
282	369	937
283	371	935
284	372	934
285	373	932
286	375	931
287	376	930
288	377	928
289	378	927
290	380	926
291	381	925
292	382	923
293	384	922
294	385	921
295	386	919
296	388	918
297	389	917
298	390	915
299	391	914
300	393	913
301	394	911
302	395	910
303	397	909
304	398	907
305	399	906
306	401	905
307	402	904
308	403	902
309	404	901
310	406	899
311	407	898
312	408	897
313	409	895
314	411	894
315	412	893
316	413	891
317	415	890
318	416	888
319	417	887
320	419	886
321	420	885
322	421	883
323	423	882
324	424	881
325	425	880
326	427	878
327	428	877
328	429	876
329	431	875
330	432	873
331	433	872
332	434	871
333	436	869
334	437	868
335	438	867
336	440	866
337	441	864
338	442	863
339	444	861
340	445	860
341	446	859
342	447	857
343	449	856
344	450	854
345	451	853
346	452	852
347	454	851
348	455	849
349	456	848
350	458	847
351	459	845
352	460	844
353	461	843
354	463	841
355	464	840
356	465	839
357	467	837
358	468	836
359	469	835
360	470	833
361	472	832
362	473	830
363	474	829
364	476	828
365	477	827
366	478	825
367	480	824
368	481	823
369	482	821
370	483	820
371	485	819
372	486	817
373	487	816
374	489	815
375	490	814
376	491	812
377	493	811
378	494	810
379	495	808
380	497	807
381	498	806
382	499	804
383	500	803
384	502	802
385	503	801
386	504	799
387	506	798
388	507	797
389	508	795
390	510	794
391	511	793
392	512	791
393	513	790
394	515	789
395	516	787
396	517	786
397	519	785
398	520	783
399	521	782
400	522	781
401	524	779
402	525	778
403	526	777
404	528	776
405	529	774
406	530	773
407	532	771
408	533	770
409	534	769
410	535	767
411	537	766
412	538	765
413	539	763
414	540	762
415	542	761
416	543	759
417	544	758
418	546	757
419	547	755
420	548	754
421	549	753
422	551	751
423	552	750
424	553	749
425	555	747
426	556	746
427	557	745
428	558	743
429	560	742
430	561	741
431	562	739
432	563	738
433	565	737
434	566	735
435	567	734
436	569	733
437	570	731
438	571	730
439	572	729
440	574	727
441	575	726
442	576	725
443	578	724
444	579	722
445	580	721
446	582	720
447	583	719
448	584	717
449	586	716
450	587	715
451	588	713
452	589	712
453	591	711
454	592	709
455	593	708
456	595	707
457	596	705
458	597	704
459	599	703
460	600	701
461	601	700
462	602	699
463	604	697
464	605	696
465	606	695
466	607	693
467	609	692
468	610	691
469	611	690
470	613	688
471	614	687
472	615	686
473	616	684
474	618	683
475	619	682
476	620	680
477	622	679
478	623	678
479	624	676
480	626	675
481	627	674
482	628	672
483	629	671
484	631	670
485	632	669
486	633	667
487	635	666
488	636	665
489	637	663
490	639	662
491	640	661
492	641	659
493	642	658
494	644	657
495	645	655
496	646	654
497	648	653
498	649	651
499	650	650
500	652	649
501	653	648
502	654	646
503	655	645
504	657	644
505	658	642
506	659	641
507	661	640
508	662	639
509	663	637
510	665	636
511	666	635
512	667	634
513	669	632
514	670	631
515	671	630
516	673	628
517	674	627
518	675	626
519	676	624
520	678	623
521	679	622
522	680	620
523	682	619
524	683	618
525	684	617
526	686	615
527	687	614
528	688	613
529	689	611
530	691	610
531	692	609
532	693	607
533	695	606
534	696	605
535	697	604
536	699	602
537	700	601
538	701	600
539	702	598
540	704	597
541	705	596
542	706	594
543	708	593
544	709	592
545	710	590
546	711	589
547	713	588
548	714	587
549	715	585
550	717	584
551	718	583
552	719	581
553	721	580
554	722	579
555	723	577
556	725	576
557	726	575
558	727	574
559	729	572
560	730	571
561	731	570
562	732	568
563	734	567
564	735	566
565	736	564
566	738	563
567	739	562
568	740	561
569	741	559
570	743	558
571	744	557
572	745	555
573	747	554
574	748	553
575	749	551
576	750	550
577	752	549
578	753	547
579	754	546
580	756	545
581	757	544
582	758	542
583	760	541
584	761	540
585	762	538
586	764	537
587	765	536
588	766	534
589	767	533
590	769	532
591	770	531
592	771	529
593	773	528
594	774	527
595	775	525
596	777	524
597	778	523
598	779	521
599	781	520
600	782	519
601	783	518
602	785	516
603	786	515
604	787	514
605	789	513
606	790	511
607	791	510
608	793	509
609	794	507
610	795	506
611	796	505
612	798	503
613	799	502
614	800	501
615	802	499
616	803	498
617	804	497
618	806	496
619	807	494
620	808	493
621	810	492
622	811	491
623	813	489
624	814	488
625	815	487
626	816	485
627	818	484
628	819	483
629	820	482
630	822	480
631	823	479
632	824	478
633	825	476
634	827	475
635	828	474
636	829	472
637	831	471
638	832	470
639	833	468
640	834	467
641	836	466
642	837	465
643	838	463
644	840	462
645	841	461
646	842	459
647	843	458
648	845	457
649	846	455
650	847	454
651	849	453
652	850	451
653	851	450
654	853	449
655	854	448
656	855	446
657	857	445
658	858	444
659	859	442
660	861	441
661	862	440
662	863	439
663	865	437
664	866	436
665	867	435
666	869	433
667	870	432
668	871	431
669	873	430
670	874	428
671	875	427
672	877	426
673	878	424
674	879	423
675	881	422
676	882	420
677	883	419
678	884	418
679	886	417
680	887	415
681	888	414
682	890	413
683	891	411
684	892	410
685	894	409
686	895	407
687	896	406
688	898	405
689	899	404
690	900	402
691	901	401
692	903	400
693	904	398
694	905	397
695	907	396
696	908	394
697	909	393
698	911	392
699	912	391
700	913	389
701	915	388
702	916	387
703	917	385
704	918	384
705	920	383
706	921	381
707	922	380
708	924	379
709	925	378
710	927	376
711	928	375
712	929	374
713	930	372
714	932	371
715	933	370
716	935	369
717	936	367
718	937	366
719	938	365
720	940	363
721	941	362
722	942	361
723	944	359
724	945	358
725	946	357
726	948	356
727	949	354
728	950	353
729	952	352
730	953	350
731	954	349
732	956	348
733	957	346
734	958	345
735	960	344
736	961	343
737	962	341
738	963	340
739	965	339
740	966	337
741	968	336
742	969	335
743	970	334
744	972	332
745	973	331
746	974	330
747	976	328
748	977	327
749	978	326
750	980	324
751	981	323
752	982	322
753	983	320
754	985	319
755	986	318
756	987	317
757	989	315
758	990	314
759	991	313
760	993	311
761	994	310
762	995	309
763	997	307
764	998	306
765	999	305
766	1001	304
767	1002	302
768	1003	301
769	1004	300
770	1006	298
771	1007	297
772	1008	296
773	1010	294
774	1011	293
775	1012	292
776	1014	291
777	1015	289
778	1016	288
779	1018	287
780	1019	285
781	1020	284
782	1022	283
783	1023	281
784	1024	280
785	1026	279
786	1027	278
787	1028	276
788	1030	275
789	1031	274
790	1032	272
791	1034	271
792	1035	270
793	1036	268
794	1038	267
795	1039	266
796	1040	265
797	1041	263
798	1043	262
799	1044	261
800	1045	259
801	1047	258
802	1048	257
803	1049	255
804	1051	254
805	1052	253
806	1053	252
807	1055	250
808	1056	249
809	1057	248
810	1059	246
811	1060	245
812	1061	244
813	1063	242
814	1064	241
815	1065	240
816	1066	238
817	1068	237
818	1069	236
819	1070	235
820	1072	233
821	1073	232
822	1075	231
823	1076	229
824	1077	228
825	1078	227
826	1080	225
827	1081	224
828	1082	223
829	1084	222
830	1085	220
831	1087	219
832	1088	218
833	1089	216
834	1091	215
835	1092	214
836	1094	213
837	1095	211
838	1096	210
839	1098	209
840	1099	207
841	1101	206
842	1102	205
843	1103	203
844	1105	202
845	1106	201
846	1107	200
847	1109	198
848	1110	197
849	1111	196
850	1112	194
851	1114	193
852	1115	192
853	1116	190
854	1118	189
855	1119	188
856	1120	187
857	1122	185
858	1123	184
859	1124	183
860	1126	181
861	1127	180
862	1128	179
863	1130	177
864	1131	176
865	1132	175
866	1134	173
867	1135	172
868	1136	171
869	1137	170
870	1139	168
871	1140	167
872	1141	166
873	1143	164
874	1144	163
875	1145	162
876	1147	160
877	1148	159
878	1149	158
879	1150	156
880	1152	155
881	1153	154
882	1154	153
883	1156	151
884	1157	150
885	1158	149
886	1160	147
887	1161	146
888	1162	145
889	1164	143
890	1165	142
891	1166	141
892	1168	139
893	1169	138
894	1170	137
895	1172	136
896	1173	134
897	1174	133
898	1176	132
899	1177	130
900	1178	129
901	1179	128
902	1181	126
903	1182	125
904	1183	124
905	1185	122
906	1186	121
907	1187	120
908	1188	119
909	1190	117
910	1191	116
911	1192	115
912	1194	113
913	1195	112
914	1196	111
915	1198	109
916	1199	108
917	1200	107
918	1202	105
919	1203	104
920	1204	103
921	1205	102
922	1207	100
923	1208	99
924	1209	98
925	1211	96
926	1212	95
927	1213	94
928	1215	92
929	1216	91
930	1217	90
931	1219	88
932	1220	87
933	1221	86
934	1223	85
935	1224	83
936	1225	82
937	1227	81
938	1228	79
939	1229	78
940	1230	77
941	1231	75
942	1233	74
943	1234	73
944	1235	71
945	1237	70
946	1238	69
947	1239	67
948	1240	66
949	1242	65
950	1243	64
951	1244	62
952	1246	61
953	1247	60
954	1248	58
955	1250	57
956	1251	56
957	1252	54
958	1253	53
959	1255	52
960	1256	50
961	1257	49
962	1259	48
963	1260	47
964	1261	45
965	1263	44
966	1264	43
967	1265	41
968	1266	40
969	1268	39
970	1269	37
971	1270	36
972	1272	35
973	1273	33
974	1274	32
975	1275	31
976	1277	30
977	1278	28
978	1279	27
979	1281	26
980	1282	24
981	1283	23
982	1285	22
983	1286	20
984	1287	19
985	1289	18
986	1290	16
987	1291	15
988	1293	14
989	1294	13
990	1295	11
991	1297	10
992	1298	9
993	1299	7
994	1300	6
995	1302	5
996	1303	3
997	1304	2
998	1306	1
999	1307	0
